A2,A3,A4,A5,A6,A8,A9,A10,A11,A13,A14,A15,A16
28.46,4.0,1.0,0.0,13.0,5.0,1.0,1.0,3,0.0,290.0,2279,0
22.83,2.29,1.0,0.0,10.0,2.29,1.0,1.0,7,0.0,140.0,2384,0
56.5,16.0,1.0,0.0,7.0,0.0,1.0,1.0,15,0.0,0.0,247,0
23.75,0.71,1.0,0.0,12.0,0.25,0.0,1.0,1,0.0,240.0,4,1
25.17,6.0,1.0,0.0,1.0,1.0,1.0,1.0,3,0.0,0.0,0,0
41.33,1.0,1.0,0.0,6.0,2.25,1.0,0.0,0,0.0,0.0,300,0
37.5,1.75,2.0,2.0,1.0,0.25,1.0,0.0,0,0.0,164.0,400,1
28.25,0.875,1.0,0.0,9.0,0.96,1.0,1.0,3,0.0,396.0,0,0
29.92,1.835,1.0,0.0,1.0,4.335,1.0,0.0,0,0.0,260.0,200,0
16.92,0.5,1.0,0.0,6.0,0.165,0.0,1.0,6,0.0,240.0,35,1
22.25,0.46,1.0,0.0,8.0,0.125,0.0,0.0,0,0.0,280.0,55,1
20.42,0.835,1.0,0.0,10.0,1.585,1.0,1.0,1,0.0,0.0,0,0
34.08,6.5,1.0,0.0,0.0,0.125,1.0,0.0,0,0.0,443.0,0,1
24.75,0.54,1.0,0.0,9.0,1.0,0.0,0.0,0,0.0,120.0,1,1
22.58,10.04,1.0,0.0,13.0,0.04,1.0,1.0,9,0.0,60.0,396,0
19.5,0.29,1.0,0.0,8.0,0.29,0.0,0.0,0,0.0,280.0,364,1
42.83,4.625,1.0,0.0,10.0,4.58,1.0,0.0,0,2.0,0.0,0,0
30.83,0.0,1.0,0.0,12.0,1.25,1.0,1.0,1,0.0,202.0,0,0
20.33,10.0,1.0,0.0,1.0,1.0,1.0,1.0,4,0.0,50.0,1465,0
16.5,0.125,1.0,0.0,1.0,0.165,0.0,0.0,0,0.0,132.0,0,1
26.33,13.0,1.0,0.0,4.0,0.0,0.0,0.0,0,0.0,140.0,1110,1
27.17,1.25,1.0,0.0,5.0,0.0,0.0,1.0,1,0.0,92.0,300,1
29.42,1.25,1.0,0.0,1.0,0.25,0.0,1.0,2,0.0,400.0,108,1
26.75,4.5,2.0,2.0,1.0,2.5,0.0,0.0,0,0.0,200.0,1210,1
24.83,2.75,1.0,0.0,1.0,2.25,1.0,1.0,6,0.0,160.0,600,0
22.92,0.17,1.0,0.0,9.0,0.085,0.0,0.0,0,2.0,0.0,0,1
22.5,0.125,2.0,2.0,8.0,0.125,0.0,0.0,0,0.0,200.0,70,1
30.0,5.29,1.0,0.0,4.0,2.25,1.0,1.0,5,0.0,99.0,500,0
20.5,2.415,1.0,0.0,1.0,2.0,1.0,1.0,11,0.0,200.0,3000,0
34.75,2.5,1.0,0.0,2.0,0.5,0.0,0.0,0,0.0,348.0,0,1
18.92,9.0,1.0,0.0,0.0,0.75,1.0,1.0,2,0.0,88.0,591,0
22.67,1.585,2.0,2.0,12.0,3.085,1.0,1.0,6,0.0,80.0,0,0
33.5,1.75,1.0,0.0,13.0,4.5,1.0,1.0,4,0.0,253.0,857,0
69.17,9.0,1.0,0.0,5.0,4.0,0.0,1.0,1,0.0,70.0,6,1
23.58,0.46,2.0,2.0,12.0,2.625,1.0,1.0,6,0.0,208.0,347,1
23.25,12.625,1.0,0.0,1.0,0.125,0.0,1.0,2,0.0,0.0,5552,1
52.5,7.0,1.0,0.0,0.0,3.0,0.0,0.0,0,0.0,0.0,0,1
32.83,2.5,1.0,0.0,2.0,2.75,1.0,1.0,6,0.0,160.0,2072,0
18.83,0.0,1.0,0.0,10.0,0.665,0.0,0.0,0,0.0,160.0,1,1
33.08,1.625,1.0,0.0,3.0,0.54,0.0,0.0,0,0.0,0.0,0,1
41.17,4.04,1.0,0.0,2.0,7.0,1.0,1.0,8,0.0,320.0,0,0
18.25,10.0,1.0,0.0,12.0,1.0,0.0,1.0,1,0.0,120.0,1,1
19.17,4.0,2.0,2.0,6.0,1.0,0.0,0.0,0,0.0,360.0,1000,1
26.75,2.0,1.0,0.0,3.0,0.75,0.0,0.0,0,0.0,80.0,0,1
16.33,2.75,1.0,0.0,0.0,0.665,0.0,1.0,1,0.0,80.0,21,1
28.58,3.54,1.0,0.0,6.0,0.5,1.0,0.0,0,0.0,171.0,0,1
32.25,14.0,2.0,2.0,5.0,0.0,0.0,1.0,2,0.0,160.0,1,1
51.92,6.5,1.0,0.0,6.0,3.085,0.0,0.0,0,0.0,73.0,0,1
24.58,12.5,1.0,0.0,12.0,0.875,1.0,0.0,0,0.0,260.0,0,1
31.42,15.5,1.0,0.0,1.0,0.5,1.0,0.0,0,0.0,120.0,0,1
24.5,0.5,1.0,0.0,10.0,1.5,1.0,0.0,0,0.0,280.0,824,0
22.08,11.46,1.0,0.0,8.0,1.585,0.0,0.0,0,0.0,100.0,1212,1
50.08,12.54,1.0,0.0,0.0,2.29,1.0,1.0,3,0.0,156.0,0,0
19.33,9.5,1.0,0.0,10.0,1.0,1.0,0.0,0,0.0,60.0,400,0
23.5,9.0,1.0,0.0,10.0,8.5,1.0,1.0,5,0.0,120.0,0,0
40.92,0.5,2.0,2.0,9.0,0.5,0.0,0.0,0,0.0,130.0,0,1
47.75,8.0,1.0,0.0,1.0,7.875,1.0,1.0,6,0.0,0.0,1260,0
23.58,11.5,2.0,2.0,8.0,3.0,0.0,0.0,0,0.0,20.0,16,1
17.67,0.0,2.0,2.0,7.0,0.0,0.0,0.0,0,0.0,86.0,0,1
33.17,1.0,1.0,0.0,13.0,0.75,1.0,1.0,7,0.0,340.0,4071,0
39.92,5.0,1.0,0.0,6.0,0.21,0.0,0.0,0,0.0,550.0,0,1
39.92,0.54,2.0,2.0,0.0,0.5,1.0,1.0,3,0.0,200.0,1000,0
29.58,4.75,1.0,0.0,9.0,2.0,0.0,1.0,1,0.0,460.0,68,1
27.25,0.625,1.0,0.0,0.0,0.455,1.0,0.0,0,0.0,200.0,0,1
17.42,6.5,1.0,0.0,6.0,0.125,0.0,0.0,0,0.0,60.0,100,1
67.75,5.5,1.0,0.0,4.0,13.0,1.0,1.0,1,0.0,0.0,0,0
21.5,9.75,1.0,0.0,1.0,0.25,1.0,0.0,0,0.0,140.0,0,1
31.25,3.75,1.0,0.0,2.0,0.625,1.0,1.0,9,0.0,181.0,0,0
19.0,0.0,2.0,2.0,5.0,0.0,0.0,1.0,4,0.0,45.0,1,1
23.92,1.5,1.0,0.0,3.0,1.875,1.0,1.0,6,0.0,200.0,327,0
28.46,11.25,1.0,0.0,5.0,0.0,0.0,0.0,0,0.0,160.0,5200,1
22.58,10.75,1.0,0.0,10.0,0.415,1.0,1.0,5,0.0,0.0,560,0
36.08,2.54,1.0,0.0,5.0,0.0,0.0,0.0,0,0.0,0.0,1000,1
36.33,3.79,1.0,0.0,12.0,1.165,1.0,0.0,0,0.0,200.0,0,1
